""
"1799,1799,1799
-36,-36,-385
"
"-43,-63,-500
-113,63,-228
-105,-78,-512
"
"-95,0,-68
-256,-72,-512
79,86,-84
"
"31,359,-512
85,6,-7
-81,-36,-512
70,55,-7
"
"29,356,-512
-8,-22,-80
-149,-16,-512
"
"59,-32,-57
-164,305,-512
21,12,-68
"
"-181,-94,-512
-46,-226,-15
-230,-103,-492
"
"-73,69,-500
-51,-42,-35
-80,328,-403
"
"-86,-31,-501
2,-105,-49
34,-21,-109
-108,-81,-45
"
"-18,-34,-427
-150,25,-213
-164,-34,-512
"
"-123,-43,-169
-104,124,-512
-139,38,-147
"
"-67,91,-512
-135,21,-124
-82,-50,-512
"
"-97,-52,-39
-129,-63,-512
-82,-14,0
-5,-31,-512
"
"-127,-11,-37
-156,-4,-512
-92,-73,-73
"
"-95,-28,-512
78,-91,76
-214,-1,-512
"
"107,-34,65
-512,-1,-512
114,-77,-91
"
"-116,291,-98
88,-109,-121
-138,-79,-391
74,-75,7"
"7
-115,88,-50
12,-123,-19
-242,328,-416
"
"-32,-138,-144
-2,-28,-438
-156,30,-483
"
"-29,103,-4
-65,21,-512
-188,78,-136
"
"-135,-38,-512
75,-167,99
-250,-1,-512
"
"-126,-45,64
-512,-1,-396
125,-28,-80
-85,33,-413
"
"100,-4,-55
-188,332,-405
-128,-56,114
"
"-99,87,-103
19,-107,-70
-60,56,-87
"
"91,-31,-80
-87,-14,-403
86,56,-119
"
"-45,-14,-74
112,-3,-98
-90,20,-474
107,-2,-113
"
"-137,54,-86
113,-121,116
-48,-40,-252
"
"72,-78,-97
-48,77,-395
90,-17,-119
"
"-52,69,-419
86,-123,86
-48,-127,-389
"
"-89,76,-52
-127,-68,-99
-126,53,-512
"
"-163,-50,-66
-105,326,-512
-66,-52,5
-134,-27,-512
"
"-17,-65,25
33,-46,-512
94,-79,13
"
"-512,-1,-497
91,105,95
-512,-1,-512
"
"127,-60,-98
-177,-12,-511
-114,-100,-117
"
"-148,61,-108
96,-78,22
-150,-65,-429
14,-133,-145
"
"-229,355,-410
-36,-186,-163
-131,-102,-125
"
"-139,-30,-483
7,126,-67
-22,13,-42
"
"-11,-57,-106
-74,-78,-119
-2,-95,-119
"
"-83,14,-512
-164,-44,-163
-29,-1,-512
"
"81,-8,-2
-494,-1,-512
90,-10,124
-441,-1,-512
"
"-110,-72,-75
-82,-72,-458
111,-61,-89
"
"-54,-38,-414
98,-40,-83
-88,2,-109
"
"73,-139,-113
-99,-1,-46
48,-89,48
"
"-117,-73,-387
5,-77,-109
-48,92,-410
-104,56,-435
"
"-18,104,-19
-67,14,-512
-121,9,-144
"
"17,106,-512
28,-96,52
-81,-1,-512
"
"-123,-77,105
-175,272,-493
-119,-44,-108
"
"-42,56,-127
122,-127,112
-89,14,-86
36"
",-127,-189
-108,311,-440
-134,117,-476
-128,325,-512
"
"-49,-79,-512
-145,-102,-224
-169,364,-512
"
"81,-53,62
-408,-1,-512
109,-47,84
"
"-512,-1,-512
-104,4,95
-28,-68,-512
"
"81,-21,101
-135,-57,-124
20,-83,-121
-12,-123,-79
"
"-153,17,-452
-114,7,-211
-83,371,-512
"
"-67,-121,121
-70,333,-390
92,-54,18
"
"-88,102,-4
-122,-147,-80
-98,42,-72
"
"-88,-1,-512
-87,-142,-105
-112,-75,-108
-66,-21,-5"
"12
-33,-166,-35
-59,-2,-512
-120,-136,-61
"
"-38,-118,-440
-211,359,-512
88,-216,-127
"
"-135,-92,-512
122,-138,33
-131,-99,-90
"
"-176,-67,-512
-104,-194,66
-24,-54,-512
"
"103,-216,-252
-61,-116,-388
-230,14,-512
66,-81,42
"
"-445,-1,-512
-104,-129,-111
-77,27,-78
"
"-66,-196,-394
-117,-102,-427
-226,-1,-512
"
"126,-138,104
-80,71,-451
-84,-92,-35
"
"-28,-16,-248
-512,-1,-512
98,-64,-34
-184,-57,-387
"
